CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
6/7/2018,0:30,BROOKLYN,11235,40.593807,-73.94062,"(40.593807, -73.94062)",AVENUE X                        ,NOSTRAND AVENUE,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3916262,Station Wagon/Sport Utility Vehicle,,,,
6/24/2018,0:30,QUEENS,11377,40.74016,-73.89525,"(40.74016, -73.89525)",QUEENS BOULEVARD                ,45 AVENUE,,0,0,0,0,0,0,0,0,Turning Improperly,Turning Improperly,,,,3928600,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
6/15/2018,0:30,,,40.704388,-73.994576,"(40.704388, -73.994576)",BROOKLYN BRIDGE                 ,,,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,Unspecified,,,3921967,Sedan,Sedan,Sedan,,
6/26/2018,0:30,,,40.72693,-73.996666,"(40.72693, -73.996666)",BLEECKER STREET                 ,,,1,0,1,0,0,0,0,0,Unsafe Speed,,,,,3929617,Bike,,,,
6/7/2018,0:30,MANHATTAN,10036,40.756664,-73.988434,"(40.756664, -73.988434)",,,253       WEST 42 STREET                ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3917316,Box Truck,Bus,,,
6/26/2018,23:00,,,40.84519,-73.9112,"(40.84519, -73.9112)",CROSS BRONX EXPY                ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3929844,Sedan,Tractor Truck Diesel,,,
6/27/2018,18:15,BROOKLYN,11213,40.668736,-73.942276,"(40.668736, -73.942276)",,,304       KINGSTON AVENUE               ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3930457,Station Wagon/Sport Utility Vehicle,Taxi,,,
6/12/2018,21:37,QUEENS,11419,40.68246,-73.830025,"(40.68246, -73.830025)",111 STREET                      ,107 AVENUE,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3920134,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
6/4/2018,12:25,,,,,,GRAND CENTRAL PARKWAY           ,MAIN STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3914439,Sedan,Station Wagon/Sport Utility Vehicle,,,
6/19/2018,15:00,MANHATTAN,10029,40.795586,-73.950165,"(40.795586, -73.950165)",EAST 108 STREET                 ,5 AVENUE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,,,3927121,Sedan,Station Wagon/Sport Utility Vehicle,Bus,,
