age,population
<1,109023
1,104632
2,104084
3,101708
4,98277
5,97287
6,95166
7,94093
8,92813
9,93800
10,93808
11,91508
12,91964
13,93920
14,96954
15,100687
16,102804
17,105583
18,110293
19,116466
20,120416
21,118759
22,125055
23,134497
24,143858
25,148788
26,144083
27,148319
28,145983
29,143017
30,149066
31,133130
32,132108
33,126004
34,121947
35,125651
36,113174
37,113751
38,114832
39,119999
40,124468
41,111368
42,110930
43,108111
44,112403
45,118902
46,114252
47,113056
48,108445
49,111037
50,117212
51,106992
52,107874
53,105437
54,104169
55,105339
56,96011
57,93760
58,90659
59,89766
60,92953
61,85831
62,86104
63,81733
64,67856
65,66320
66,61070
67,61800
68,55451
69,52526
70,52898
71,48517
72,47308
73,43475
74,42096
75,39862
76,35933
77,35391
78,33258
79,33575
80,32568
81,29849
82,28744
83,26412
84,24699
85,23097
86,20588
87,17769
88,15567
89,13354
90,10957
91,8588
92,7307
93,5829
94,4589
95,3914
96,2874
97,2208
98,1514
99,1155
100-104,1886
105-109,201
110+,9
